equation,equation_en
$ h^r_v \in R^ { d ' } $, h to the power of r subscript v in R to the power of open brace d ' close brace 
$ < F_ { \rm 12 } < 15 $, less than F subscript open brace roman 12 close brace less than 15 
$ \lambda_0 > \frac { a+b_1 } { 2 } $, lambda subscript 0 greater than frac open brace a plus b subscript 1 close brace open brace 2 close brace 
"$ I_i ( u , z ) $", I subscript i open parenthesis u comma z close parenthesis 
$ 1\leq |\beta| < |\alpha| $, 1 less than or equal to vertical bar beta vertical bar less than vertical bar alpha vertical bar 
$ shares that lie in the same polynomial $, shares that lie in the same polynomial 
$ with the sinusoidal position embedding for $, with the sinusoidal position embedding for 
"$ \ { \tau_ { 2 } , \tau_ { 2 } \ } $", open brace tau subscript open brace 2 close brace comma tau subscript open brace 2 close brace close brace 
$ |f| = p^m $, vertical bar f vertical bar equals p to the power of m 
"$ ( t , y , z ) $", open parenthesis t comma y comma z close parenthesis 
$ \lambda= ( cn ! ) ^ { 1/n } $, lambda equals open parenthesis cn factorial close parenthesis to the power of open brace 1 divided by n close brace 
"$ \ , \lambda 5007 $", comma lambda 5007 
$ \xi_c^t $, xi subscript c to the power of t 
$ \iota_1^\alpha ( i ) > \iota_2^\alpha ( j ) $, iota subscript 1 to the power of alpha open parenthesis i close parenthesis greater than iota subscript 2 to the power of alpha open parenthesis j close parenthesis 
"$ , which happens if and only if $", comma which happens if and only if 
$ easier since $, easier since 
"$ \Delta_ { 1 , \delta , \tau } $", Delta subscript open brace 1 comma delta comma tau close brace 
"$ p ( \eta , \cdot ) $", p open parenthesis eta comma times close parenthesis 
$ w=1/z $, w equals 1 divided by z 
$ s \in N_ { S } $, s in N subscript open brace S close brace 
$ d_ { ML } =c_ { Al_2O_3 } /L $, d subscript open brace ML close brace equals c subscript open brace Al subscript 2O subscript 3 close brace divided by L 
$ \Delta \cup \ { v\ } $, Delta union open brace v close brace 
$ m_1 ( I ) $, m subscript 1 open parenthesis I close parenthesis 
$ D_b=\pi_b ( D ) $, D subscript b equals pi subscript b open parenthesis D close parenthesis 
$ 1.02 $, 1 point 02 
"$ R_ { g , n } / ( \beta-2 , \gamma ) $", R subscript open brace g comma n close brace divided by open parenthesis beta minus 2 comma gamma close parenthesis 
$ \bar { r } _ { t ' } ( 1 ) $, overline open brace r close brace subscript open brace t ' close brace open parenthesis 1 close parenthesis 
$ a ( f_i ) =a ( f_ { i+1 } ) $, a open parenthesis f subscript i close parenthesis equals a open parenthesis f subscript open brace i plus 1 close brace close parenthesis 
$ covers the bottom edge of $, covers the bottom edge of 
$ with~ $, with tilde 
$ |C_i\cap S|=x_i $, vertical bar C subscript i intersection S vertical bar equals x subscript i 
$ d_o+1 $, d subscript o plus 1 
$ \alpha + 1 - d < 1 $, alpha plus 1 minus d less than 1 
$ ( L_z ) $, open parenthesis L subscript z close parenthesis 
$ 24K $, 24K 
$ 0 < t < \ ! \ ! < 1 $, 0 less than t less than factorial factorial less than 1 
$ \ { 1 - Z_ { j ; t } Z_ { j ; b } \ } $, open brace 1 minus Z subscript open brace j semicolon t close brace Z subscript open brace j semicolon b close brace close brace 
$ \beta_t = a^ { \sigma^s ( t ) } _ { 11 } $, beta subscript t equals a to the power of open brace sigma to the power of s open parenthesis t close parenthesis close brace subscript open brace 11 close brace 
$ \beta \in j $, beta in j 
$ j\in I_l $, j in I subscript l 
"$ a_0 , a_1 \in I $", a subscript 0 comma a subscript 1 in I 
$ a^ { ( j ) } _ { 2 } =a^ { ( j ) } _1 $, a to the power of open brace open parenthesis j close parenthesis close brace subscript open brace 2 close brace equals a to the power of open brace open parenthesis j close parenthesis close brace subscript 1 
$ C_ { 3 } = p_ { 2 } - \frac { K_ { \tau } } { 2 } $, C subscript open brace 3 close brace equals p subscript open brace 2 close brace minus frac open brace K subscript open brace tau close brace close brace open brace 2 close brace 
$ n_l * ( wb/8 ) $, n subscript l times open parenthesis wb divided by 8 close parenthesis 
$ Y_ { 0 : t } $, Y subscript open brace 0 colon t close brace 
$ { \bf w } ^ { \top } _a $, open brace bold w close brace to the power of open brace tends top close brace subscript a 
"$ \alpha ( M ' , M ) $", alpha open parenthesis M ' comma M close parenthesis 
$ which approves exactly the three candidates corresponding to the $, which approves exactly the three candidates corresponding to the 
"$ m_\pi = 300-600\ , $", m subscript pi equals 300 minus 600 comma 
$ T ( 100 ) $, T open parenthesis 100 close parenthesis 
$ h_C ( X ) $, h subscript C open parenthesis X close parenthesis 
$ da\equiv db\pmod { N } $, da equivalent to db plus or minusod open brace N close brace 
"$ [ 24,17,6 ] _ { 16 } $", open bracket 24 comma 17 comma 6 close bracket subscript open brace 16 close brace 
$ \frac { 4 } { m } d \log\frac { 2 e m } { d } = \frac { 4 } { x } \log 2 e x $, frac open brace 4 close brace open brace m close brace d logarithm of frac open brace 2 e m close brace open brace d close brace equals frac open brace 4 close brace open brace x close brace logarithm of 2 e x 
$ \eta [ a^2 ] = 0 $, eta open bracket a to the power of 2 close bracket equals 0 
"$ \inner { u_n , D\Pi ( z_n ) v } $", inner open brace u subscript n comma D Pi open parenthesis z subscript n close parenthesis v close brace 
$ g^ { ( \alpha ) } ( \pi/2 ) =0 $, g to the power of open brace open parenthesis alpha close parenthesis close brace open parenthesis pi divided by 2 close parenthesis equals 0 
$ is the noise level in $, is the noise level in 
$ \lambda = 0.29 $, lambda equals 0 point 29 
$ 35.0 \pm 2.56 $, 35 point 0 plus or minus 2 point 56 
$ Z ( H ) $, Z open parenthesis H close parenthesis 
$ Ss $, Ss 
$ 40.6^ { +7.7 } _ { -7.1 } $, 40 point 6 to the power of open brace plus 7 point 7 close brace subscript open brace minus 7 point 1 close brace 
$ t/\tau_c=1 $, t divided by tau subscript c equals 1 
$ e^ { -\lambda } \lambda^ { \theta_1 } > 0 $, e to the power of open brace minus lambda close brace lambda to the power of open brace theta subscript 1 close brace greater than 0 
"$ u \in U_ { n , j } $", u in U subscript open brace n comma j close brace 
$ e_i ( t ) = 0 $, e subscript i open parenthesis t close parenthesis equals 0 
$ InDev_1 = 2 $, InDev subscript 1 equals 2 
"$ $ ( A ( g ) ) ( x ) =g ( x ) -cF ( x , g ( x ) ) , $ $",  open parenthesis A open parenthesis g close parenthesis close parenthesis open parenthesis x close parenthesis equals g open parenthesis x close parenthesis minus cF open parenthesis x comma g open parenthesis x close parenthesis close parenthesis comma  
$ \pi_h^ { + } $, pi subscript h to the power of open brace plus close brace 
$ \delta O_i $, delta O subscript i 
"$ , and is denoted in the form of ordered nodes $", comma and is denoted in the form of ordered nodes 
$ \gamma < \Gamma_ { j+1 } $, gamma less than Gamma subscript open brace j plus 1 close brace 
$ \eta_I=0.815 \pm 0.01 $, eta subscript I equals 0 point 815 plus or minus 0 point 01 
"$ y_ { I , J } $", y subscript open brace I comma J close brace 
$ H_3 \cap H_1 = P $, H subscript 3 intersection H subscript 1 equals P 
"$ m ( \epsilon , \delta , K ) $", m open parenthesis epsilon comma delta comma K close parenthesis 
$ k_5 = k_1-k_2 $, k subscript 5 equals k subscript 1 minus k subscript 2 
$ 5190\pm90 $, 5190 plus or minus 90 
$ v^0 ( \frac { x_ { i-1 } +x_ { i } } { 2 } ) $, v to the power of 0 open parenthesis frac open brace x subscript open brace i minus 1 close brace plus x subscript open brace i close brace close brace open brace 2 close brace close parenthesis 
$ 2.020 ( -6 ) $, 2 point 020 open parenthesis minus 6 close parenthesis 
$ u_k < \infty $, u subscript k less than infty 
"$ -plane , so it is convenient to describe the electron wave function as $", minus plane comma so it is convenient to describe the electron wave function as 
"$ 2^ { -l } [ 0,1/2 ] $", 2 to the power of open brace minus l close brace open bracket 0 comma 1 divided by 2 close bracket 
$ f ( e^t ) \to 0 $, f open parenthesis e to the power of t close parenthesis tends to 0 
$ through the interface pressures $, through the interface pressures 
$ \pm 0.146 $, plus or minus 0 point 146 
"$ \int E \ , \ddr Q $", int E comma differential r Q 
$ 0 < t_2 < b $, 0 less than t subscript 2 less than b 
"$ g_ { i+1 } ( \delta_ { i+1 } , \cdot ) $", g subscript open brace i plus 1 close brace open parenthesis delta subscript open brace i plus 1 close brace comma times close parenthesis 
$ 2.241\pm 0.013 $, 2 point 241 plus or minus 0 point 013 
$ . We find all solutions starting with a $, point We find all solutions starting with a 
$ 20.22_ { 6.5 } $, 20 point 22 subscript open brace 6 point 5 close brace 
"$ z = p_q / p_h \in ( 0,1 ] $", z equals p subscript q divided by p subscript h in open parenthesis 0 comma 1 close bracket 
$ -1.93\pm0.02 $, minus 1 point 93 plus or minus 0 point 02 
$ \Delta^ { \rm E } ( x ) $, Delta to the power of open brace roman E close brace open parenthesis x close parenthesis 
$ 2A/3 \leq m/2 $, 2A divided by 3 less than or equal to m divided by 2 
$ T=AH^ { -1 } $, T equals AH to the power of open brace minus 1 close brace 
$ u_L^M $, u subscript L to the power of M 
$ p/2 < 1/2 $, p divided by 2 less than 1 divided by 2 
$ \phi_2/\alpha $, phi subscript 2 divided by alpha 
$ 12.615 $, 12 point 615 
$ X = \sigma Z $, X equals sigma Z 
$ being a cycle is likewise given by $, being a cycle is likewise given by 
$ ( H_\lambda ) _ { \lambda\in \Lambda } $, open parenthesis H subscript lambda close parenthesis subscript open brace lambda in Lambda close brace 
$ f^ { \mu } _ { EM } $, f to the power of open brace mu close brace subscript open brace EM close brace 
$ Df_l $, Df subscript l 
"$ \delta i ( x , y ) $", delta i open parenthesis x comma y close parenthesis 
$ dom ( r_2 ' ) =dom ( r_2 ) $, dom open parenthesis r subscript 2 ' close parenthesis equals dom open parenthesis r subscript 2 close parenthesis 
$ \gamma ( G ) \geq \frac { d ( G ) +1 } { 3 } $, gamma open parenthesis G close parenthesis greater than or equal to frac open brace d open parenthesis G close parenthesis plus 1 close brace open brace 3 close brace 
$ \omega=e^ { \frac { 2\pi i } { 5 } } $, omega equals e to the power of open brace frac open brace 2 pi i close brace open brace 5 close brace close brace 
$ ( \lambda H ' ) $, open parenthesis lambda H ' close parenthesis 
$ L_ { cl } ^ { ( MA ) } $, L subscript open brace cl close brace to the power of open brace open parenthesis MA close parenthesis close brace 
$ I_\mu $, I subscript mu 
$ \geq10^8 $, greater than or equal to 10 to the power of 8 
$ 8.25 ( 78 ) _m ( 44 ) _\mu ( 37 ) _4 ( 37 ) _s $, 8 point 25 open parenthesis 78 close parenthesis subscript m open parenthesis 44 close parenthesis subscript mu open parenthesis 37 close parenthesis subscript 4 open parenthesis 37 close parenthesis subscript s 
"$ \lambda^ { ( 1 ) } = ( 1^n ) , $", lambda to the power of open brace open parenthesis 1 close parenthesis close brace equals open parenthesis 1 to the power of n close parenthesis comma 
$ which are closed curves on $, which are closed curves on 
$ d_ { Z_i } < d_ { Z_j } $, d subscript open brace Z subscript i close brace less than d subscript open brace Z subscript j close brace 
"$ B_ { \rm eq } \sim 4\ , \mu $", B subscript open brace roman eq close brace similar to 4 comma mu 
"$ \ { 0,4,8 , ... \ } $", open brace 0 comma 4 comma 8 comma point point point close brace 
$ and the weak augmentation $, and the weak augmentation 
$ \partial\beta_1 $, partial beta subscript 1 
$ \|A * B - 1\|_ { k } \geq \Omega ( 1 ) $, vertical bar A times B minus 1 vertical bar subscript open brace k close brace greater than or equal to Omega open parenthesis 1 close parenthesis 
$ \sigma ( dx ) : =\frac1 { 2\pi } ( 4-x^2 ) _+^ { 1/2 } dx $, sigma open parenthesis dx close parenthesis colon equals frac 1 open brace 2 pi close brace open parenthesis 4 minus x to the power of 2 close parenthesis subscript plus to the power of open brace 1 divided by 2 close brace dx 
$ P ( l ) $, P open parenthesis l close parenthesis 
$ \gamma \neq 0. $, gamma not equal to 0 point 
$ \nu = \cos^2 \theta $, nu equals cosine of to the power of 2 theta 
$ 664\pm25.0 $, 664 plus or minus 25 point 0 
$ \mu_t = \delta_ { \gamma_t } $, mu subscript t equals delta subscript open brace gamma subscript t close brace 
$ 0.195266 $, 0 point 195266 
$ is adapted and is bounded uniformly in $, is adapted and is bounded uniformly in 
$ C_U : =\phi_ { W } ^ { -1 } ( U ) $, C subscript U colon equals phi subscript open brace W close brace to the power of open brace minus 1 close brace open parenthesis U close parenthesis 
$ 19.4_ { -0.6 } ^ { +0.5 } $, 19 point 4 subscript open brace minus 0 point 6 close brace to the power of open brace plus 0 point 5 close brace 
"$ { < o_i , y_t , o_j > } $", open brace less than o subscript i comma y subscript t comma o subscript j greater than close brace 
$ ( SiO $, open parenthesis SiO 
"$ -2 ( u_h-u , u-W ) $", minus 2 open parenthesis u subscript h minus u comma u minus W close parenthesis 
$ to the drift of $, to the drift of 
$ \frac { |C_i| } { 15 } ^ { th } $, frac open brace vertical bar C subscript i vertical bar close brace open brace 15 close brace to the power of open brace th close brace 
$ most frequent tokens ( generalizing one-hots/standard bases ) ; $, most frequent tokens open parenthesis generalizing one minus hots divided by standard bases close parenthesis semicolon 
$ R = 4.3 $, R equals 4 point 3 
$ 0.34 \pm 0.02 $, 0 point 34 plus or minus 0 point 02 
$ g_ { 0 } ( 1 ) \leq\alpha $, g subscript open brace 0 close brace open parenthesis 1 close parenthesis less than or equal to alpha 
$ t_n = t_ { 0 } - \Delta t_s - ( N_s-l ) f\Delta t $, t subscript n equals t subscript open brace 0 close brace minus Delta t subscript s minus open parenthesis N subscript s minus l close parenthesis f Delta t 
$ \kappa_i=0.3 $, kappa subscript i equals 0 point 3 
$ \mu_2 > d\sigma ( < 1 ) $, mu subscript 2 greater than d sigma open parenthesis less than 1 close parenthesis 
$ G ( t+T ) =G ( t ) $, G open parenthesis t plus T close parenthesis equals G open parenthesis t close parenthesis 
"$ , which can only be true if $", comma which can only be true if 
$ |x| < y $, vertical bar x vertical bar less than y 
$ T = a^ * S b $, T equals a to the power of times S b 
"$ I_ { i , n } ( t ) $", I subscript open brace i comma n close brace open parenthesis t close parenthesis 
$ D_ { r_0 } ( p_0 ) $, D subscript open brace r subscript 0 close brace open parenthesis p subscript 0 close parenthesis 
$ m_y^ { max } $, m subscript y to the power of open brace max close brace 
$ 0 .. n $, 0 point point n 
"$ , namely a suffix of the form $", comma namely a suffix of the form 
$ \lambda/2D $, lambda divided by 2D 
$ \delta = \gamma/2 $, delta equals gamma divided by 2 
"$ V_2 ( x , t ) $", V subscript 2 open parenthesis x comma t close parenthesis 
$ |e \cap f| = k-1 $, vertical bar e intersection f vertical bar equals k minus 1 
$ p_a \to q_a $, p subscript a tends to q subscript a 
"$ Y ( Y ( u ) _nv , z ) = ( A_nB ) ( z ) $", Y open parenthesis Y open parenthesis u close parenthesis subscript nv comma z close parenthesis equals open parenthesis A subscript nB close parenthesis open parenthesis z close parenthesis 
$ \frac { TP } { TP+FN } $, frac open brace TP close brace open brace TP plus FN close brace 
$ X_ { ( n-2k ) } $, X subscript open brace open parenthesis n minus 2k close parenthesis close brace 
$ \kappa_ { ii } ( T ) $, kappa subscript open brace ii close brace open parenthesis T close parenthesis 
$ -0.28\pm0.08 $, minus 0 point 28 plus or minus 0 point 08 
$ z\sim 10^2 $, z similar to 10 to the power of 2 
$ w\in V_ { T_y } $, w in V subscript open brace T subscript y close brace 
$ \mu=\delta_c $, mu equals delta subscript c 
$ 0 < \lambda < \lambda_\alpha $, 0 less than lambda less than lambda subscript alpha 
$ |\cdot|^m\omega_0^\delta $, vertical bar times vertical bar to the power of m omega subscript 0 to the power of delta 
$ \theta_c = 1.6 $, theta subscript c equals 1 point 6 
"$ V_4 = \ { 1 , a , b , c\ } \subset SO ( 3 ) $", V subscript 4 equals open brace 1 comma a comma b comma c close brace strict subset of SO open parenthesis 3 close parenthesis 
$ \nabla_ { L_k } R_j $, nabla subscript open brace L subscript k close brace R subscript j 
"$ c_1 , c_2 , ... c_n $", c subscript 1 comma c subscript 2 comma point point point c subscript n 
"$ \Lambda_c , \ , \Sigma_c , \ , \Xi_c $", Lambda subscript c comma comma Sigma subscript c comma comma Xi subscript c 
$ t_j = N_j ( \tau_ { \rm bs } + \tau_ { \rm B } ) $, t subscript j equals N subscript j open parenthesis tau subscript open brace roman bs close brace plus tau subscript open brace roman B close brace close parenthesis 
$ \eta_A\neq 0 $, eta subscript A not equal to 0 
$ can be defined as the % homomorphism core of $, can be defined as the percent homomorphism core of 
$ j_ { i+1 } = j_i + c $, j subscript open brace i plus 1 close brace equals j subscript i plus c 
$ r > 2r_3 $, r greater than 2r subscript 3 
$ n_1 = 10 * p_1 $, n subscript 1 equals 10 times p subscript 1 
"$ S^ { ( 3 ) } _ { n,3 } $", S to the power of open brace open parenthesis 3 close parenthesis close brace subscript open brace n comma 3 close brace 
$ Thus our $, Thus our 
$ C-B^ { T } A^ { \dagger } B $, C minus B to the power of open brace T close brace A to the power of open brace dagger close brace B 
$ |C_+|=|C_-| $, vertical bar C subscript plus vertical bar equals vertical bar C subscript minus vertical bar 
$ \rho_ { m_r } ^C $, rho subscript open brace m subscript r close brace to the power of C 
$ |K|=r+1 $, vertical bar K vertical bar equals r plus 1 
$ 53.6\pm0.0 $, 53 point 6 plus or minus 0 point 0 
"$ \alpha_1=3 , \alpha_2=4 $", alpha subscript 1 equals 3 comma alpha subscript 2 equals 4 
$ N_ { aAB } =\frac { 1 } { 4 } $, N subscript open brace aAB close brace equals frac open brace 1 close brace open brace 4 close brace 
"$ j^ * _ { 0 , \alpha } ( \kappa_1 ) =\kappa^1_\alpha $", j to the power of times subscript open brace 0 comma alpha close brace open parenthesis kappa subscript 1 close parenthesis equals kappa to the power of 1 subscript alpha 
$ -th } view { has } $, minus th close brace view open brace has close brace 
