equation,equation_en
"$ ( -2g+1 , +\infty ) $",open parenthesis minus 2g plus 1 comma plus \infty close parenthesis
"$ \int_X \hat { \psi } \ , \omega^n=0 $",\int subscript X \hat open brace \psi close brace \ comma \omega to the power of n equals 0
"$ ( \nabla f , N ) $",open parenthesis \nabla f comma N close parenthesis
$ v_1w\in E ( C ' ) $,v subscript 1w \in E open parenthesis C ' close parenthesis
$ 2\NumPai\Val $,2 \NumPai \Val
"$ W_n^l ( x ( z_1 ) , \ldots , x ( z_n ) ) $",W subscript n to the power of l open parenthesis x open parenthesis z subscript 1 close parenthesis comma \ldots comma x open parenthesis z subscript n close parenthesis close parenthesis
$ \phi_f \in \Sc ( \hat U ) \cong \Sc ( \widehat { U^- } ) $,\phi subscript f \in \Sc open parenthesis \hat U close parenthesis \cong \Sc open parenthesis \widehat open brace U to the power of minus close brace close parenthesis
$ ( 44k + 65 ) \cdot 10^6 $,open parenthesis 44k plus 65 close parenthesis \cdot 10 to the power of 6
"$ { \rm Im } \ , \omega^\alpha ( V ) \subset V^\alpha $",open brace \rm Im close brace \ comma \omega to the power of \alpha open parenthesis V close parenthesis \subset V to the power of \alpha
"$ I_ { ( V , \psi ) } ( k ) $",I subscript open brace open parenthesis V comma \psi close parenthesis close brace open parenthesis k close parenthesis
$ 95.2\ % $,95 point 2 \ percent
$ T = \left ( 8\pi M\right ) ^ { -1 } = a\left ( 2\pi\right ) ^ { -1 } $,T equals \left open parenthesis 8 \pi M \right close parenthesis to the power of open brace minus 1 close brace equals a \left open parenthesis 2 \pi \right close parenthesis to the power of open brace minus 1 close brace
$ \PP ( \Z ) $,\PP open parenthesis \Z close parenthesis
$ e^ { x } =\frac { -1\pm\sqrt { 5 } } { 4 } $,e to the power of open brace x close brace equals frac open brace minus 1 \pm \sqrt open brace 5 close brace close brace open brace 4 close brace
$ \sourcelabels $,\sourcelabels
"$ \w= ( w_1 , ... , w_K ) ^\prime $",\w equals open parenthesis w subscript 1 comma point point point comma w subscript K close parenthesis to the power of \prime
$ ( \ref { 23 } ) $,open parenthesis \ref open brace 23 close brace close parenthesis
$ \neg ( x \sqsubset y ) $,\neg open parenthesis x \sqsubset y close parenthesis
$ \mathcal { H } : = \ell^2 ( { \bf Z } ^2 ; { \bf C } ^4 ) $,\mathcal open brace H close brace colon equals \ell to the power of 2 open parenthesis open brace \bf Z close brace to the power of 2 semicolon open brace \bf C close brace to the power of 4 close parenthesis
"$ N : =\ { 1,2 , \ldots , n\ } $",N colon equals \ open brace 1 comma 2 comma \ldots comma n \ close brace
$ \ell \leq 2k $,\ell \leq 2k
$ \vec \Phi^ { * } _i \cdot \vec \Phi_j = \delta_ { ij } $,\vec \Phi to the power of open brace times close brace subscript i \cdot \vec \Phi subscript j equals \delta subscript open brace ij close brace
$ k_ { 1 } = ptxyz \sin 2\theta $,k subscript open brace 1 close brace equals ptxyz \sin 2 \theta
$ 25.33\pm0.04 $,25 point 33 \pm 0 point 04
$ \omega\cdot n+m $,\omega \cdot n plus m
"$ x^ { R } \in C [ 0,1 ] $",x to the power of open brace R close brace \in C open bracket 0 comma 1 close bracket
$ \sigma^ { \prime 2 } ( \x ) $,\sigma to the power of open brace \prime 2 close brace open parenthesis \x close parenthesis
$ ad^ { \tau } ( \mathcal { F } ) $,ad to the power of open brace \tau close brace open parenthesis \mathcal open brace F close brace close parenthesis
"$ 0\neq t\in ( -\varepsilon , \varepsilon ) $",0 \neq t \in open parenthesis minus \varepsilon comma \varepsilon close parenthesis
$ \pm q ' $,\pm q '
$ w_v=w_ { c^\prime } =1 $,w subscript v equals w subscript open brace c to the power of \prime close brace equals 1
"$ j=1,2 , \cdots , M_y ( \pointcloud ) $",j equals 1 comma 2 comma \cdots comma M subscript y open parenthesis \pointcloud close parenthesis
"$ \cB ( G , F ) $",\cB open parenthesis G comma F close parenthesis
"$ \tilde { \eta } =\underset { j } { \min } \ , \eta^j > 0 $",\tilde open brace \eta close brace equals \underset open brace j close brace open brace \min close brace \ comma \eta to the power of j greater than 0
$ \tilde r^ { -2 } $,\tilde r to the power of open brace minus 2 close brace
$ E_ { \bm k } \equiv \sqrt { \varepsilon_ { \bm k } ^2 + J^2 } $,E subscript open brace \bm k close brace \equiv \sqrt open brace \varepsilon subscript open brace \bm k close brace to the power of 2 plus J to the power of 2 close brace
"$ \forall q \in ( \lune_ { uv } \cap V ) , q \notin N ( G , u ) $",\forall q \in open parenthesis \lune subscript open brace uv close brace \cap V close parenthesis comma q \notin N open parenthesis G comma u close parenthesis
$ p\in\Sigma_- ( s ) $,p \in \Sigma subscript minus open parenthesis s close parenthesis
$ A \sqcup \ { 0\ } $,A \sqcup \ open brace 0 \ close brace
$ { \sf Q_y } \in\mathbb { R } ^p $,open brace \sf Q subscript y close brace \in \mathbb open brace R close brace to the power of p
$ \partial_\ell\varphi ( x ) $,\partial subscript \ell \varphi open parenthesis x close parenthesis
$ \mathrm { Std } ( \by ) $,\mathrm open brace Std close brace open parenthesis \by close parenthesis
"$ a , b\in k [ [ t^\Gamma ] ] $",a comma b \in k open bracket open bracket t to the power of \Gamma close bracket close bracket
$ \mu_ { M/L } $,\mu subscript open brace M divided by L close brace
$ \theta_ { p } = 65^ { \circ } $,\theta subscript open brace p close brace equals 65 to the power of open brace \circ close brace
$ \DR=\sqrt { \smash [ b ] { ( \Deta ) ^2+ ( \Dphi ) ^2 } } > 0.4 $,\DR equals \sqrt open brace \smash open bracket b close bracket open brace open parenthesis \Deta close parenthesis to the power of 2 plus open parenthesis \Dphi close parenthesis to the power of 2 close brace close brace greater than 0 point 4
$ G_\mathrm { gNB } $,G subscript \mathrm open brace gNB close brace
$ n\in \mathbb { N } \setminus \ { 0\ } $,n \in \mathbb open brace N close brace \setminus \ open brace 0 \ close brace
$ \begin { pmatrix } A_1 & 0 & B_1 & 0 \\ 0 & A_2 & 0 & B_2 \end { pmatrix } $,\begin open brace pmatrix close brace A subscript 1 and 0 and B subscript 1 and 0 \ \ 0 and A subscript 2 and 0 and B subscript 2 \end open brace pmatrix close brace
$ { Y } _ { \rm I } $,open brace Y close brace subscript open brace \rm I close brace
$ u_1 + \cdots + u_n = 1 $,u subscript 1 plus \cdots plus u subscript n equals 1
$ \chi= ( I_sR_L ) / ( 2\rho V_ { th } ) $,\chi equals open parenthesis I subscript sR subscript L close parenthesis divided by open parenthesis 2 \rho V subscript open brace th close brace close parenthesis
$ \psi ( Z ) > \psi ( Y ) $,\psi open parenthesis Z close parenthesis greater than \psi open parenthesis Y close parenthesis
$ v ( c_ { i+1 } ^ { * } ) \geq v ( c_ { i } ^ { * } ) $,v open parenthesis c subscript open brace i plus 1 close brace to the power of open brace times close brace close parenthesis \geq v open parenthesis c subscript open brace i close brace to the power of open brace times close brace close parenthesis
$ \mathcal { F } _q = \mathcal { F } _ { \varphi_q } $,\mathcal open brace F close brace subscript q equals \mathcal open brace F close brace subscript open brace \varphi subscript q close brace
$ \tau_ { ep } $,\tau subscript open brace ep close brace
$ r ( x ) \to +\infty $,r open parenthesis x close parenthesis \to plus \infty
"$ x_1 , \cdots , x_ { 18 } , A_1 , W_1 , W_3 $",x subscript 1 comma \cdots comma x subscript open brace 18 close brace comma A subscript 1 comma W subscript 1 comma W subscript 3
$ \frac { \displaystyle { s_n } } { \displaystyle { t_n } } $,frac open brace \displaystyle open brace s subscript n close brace close brace open brace \displaystyle open brace t subscript n close brace close brace
$ \hat { t_ { k } } $,\hat open brace t subscript open brace k close brace close brace
$ R_0/\sqrt { 3 } $,R subscript 0 divided by \sqrt open brace 3 close brace
"$ z^ { \alpha } \omega^S ( z , t ) $",z to the power of open brace \alpha close brace \omega to the power of S open parenthesis z comma t close parenthesis
$ \mathbf { M } _ { a_t^s } ( t ) * v_ { u_t } = 1 $,\mathbf open brace M close brace subscript open brace a subscript t to the power of s close brace open parenthesis t close parenthesis times v subscript open brace u subscript t close brace equals 1
$ A+k_hBC\neq \alpha I $,A plus k subscript hBC \neq \alpha I
$ a ( a \geq 4 ) $,a open parenthesis a \geq 4 close parenthesis
"$ \mathcal { G } _ { k } = ( \mathcal { X } , E_ { k } ) $",\mathcal open brace G close brace subscript open brace k close brace equals open parenthesis \mathcal open brace X close brace comma E subscript open brace k close brace close parenthesis
$ q_2\in Q_2 $,q subscript 2 \in Q subscript 2
$ \log p_i $,\log p subscript i
"$ $ \u_h^0 ( r ) =-2\para r+g ( r ) , $ $",\u subscript h to the power of 0 open parenthesis r close parenthesis equals minus 2 \para r plus g open parenthesis r close parenthesis comma
"$ \ { \tuple { n , m } \in N^2 \colon n \leq m\ } $",\ open brace \tuple open brace n comma m close brace \in N to the power of 2 \colon n \leq m \ close brace
$ 2\kappa \geq \kappa $,2 \kappa \geq \kappa
$ 0.02248\pm0.00016 $,0 point 02248 \pm 0 point 00016
$ u + iy \in \SL_2 ( \Z ) \bs \H $,u plus iy \in \SL subscript 2 open parenthesis \Z close parenthesis \bs \H
$ E_+ \subset \mathbb { E } ^d $,E subscript plus \subset \mathbb open brace E close brace to the power of d
"$ d_ { \nu , \s } ( \kv ) $",d subscript open brace \nu comma \s close brace open parenthesis \kv close parenthesis
$ \ket { \phi^+ } = \frac { 1 } { \sqrt { 2 } } ( \ket { 00 } + \ket { 11 } ) $,\ket open brace \phi to the power of plus close brace equals frac open brace 1 close brace open brace \sqrt open brace 2 close brace close brace open parenthesis \ket open brace 00 close brace plus \ket open brace 11 close brace close parenthesis
$ -0.21\pm0.14 $,minus 0 point 21 \pm 0 point 14
$ \vert \mathcal { V } \vert =8192 $,\vert \mathcal open brace V close brace \vert equals 8192
"$ \delta \sim -16\degr\,43'\,21\farcs99 $",\delta \sim minus 16 \degr \ comma 43' \ comma 21 \farcs 99
$ \textsc { depth } [ r ] \gets 0 $,\textsc open brace depth close brace open bracket r close bracket \gets 0
"$ \Sigma ( g_1 , g_2 ) =\Sigma ( g_2 , g_1 ) ^ { -1 } $",\Sigma open parenthesis g subscript 1 comma g subscript 2 close parenthesis equals \Sigma open parenthesis g subscript 2 comma g subscript 1 close parenthesis to the power of open brace minus 1 close brace
"$ G ( X , Y , Y ' ) = F ( X , Y ) \wedge F ( X , Y ' ) \wedge ( Y \neq Y ' ) $",G open parenthesis X comma Y comma Y ' close parenthesis equals F open parenthesis X comma Y close parenthesis \wedge F open parenthesis X comma Y ' close parenthesis \wedge open parenthesis Y \neq Y ' close parenthesis
$ \vec { n } \neq 0 $,\vec open brace n close brace \neq 0
$ a_ { \text { BD } } $,a subscript open brace \text open brace BD close brace close brace
$ \mathcal { R } \subseteq \reals^q $,\mathcal open brace R close brace \subseteq \reals to the power of q
$ = { 4\pi } { ( |f_2|^2-|f_1|^2 ) } $,equals open brace 4 \pi close brace open brace open parenthesis vertical bar f subscript 2 vertical bar to the power of 2 minus vertical bar f subscript 1 vertical bar to the power of 2 close parenthesis close brace
$ \minion F\colon \cat_1 \to \cat_2 $,\minion F \colon \cat subscript 1 \to \cat subscript 2
"$ \frac { i } { 16\pi^2 } \frac { 1 } { 80640\ , \text { M } ^ { 4 } } $",frac open brace i close brace open brace 16 \pi to the power of 2 close brace frac open brace 1 close brace open brace 80640 \ comma \text open brace M close brace to the power of open brace 4 close brace close brace
$ \mathbf { x } \in \prod_ { i \in I } D_i^ { \cM } $,\mathbf open brace x close brace \in \prod subscript open brace i \in I close brace D subscript i to the power of open brace \cM close brace
$ \langle C_T\rangle^\perp $,\langle C subscript T \rangle to the power of \perp
"$ l_ { n , k } \downarrow_ { n ; n\geq k+1 } 0 $",l subscript open brace n comma k close brace \downarrow subscript open brace n semicolon n \geq k plus 1 close brace 0
$ 1.768 \cdot 10^ { -3 } $,1 point 768 \cdot 10 to the power of open brace minus 3 close brace
"$ I\subset ( 0,1 ) $",I \subset open parenthesis 0 comma 1 close parenthesis
$ 10^7~\mbox { m } ^ { -1 } $,10 to the power of 7 tilde \mbox open brace m close brace to the power of open brace minus 1 close brace
$ \phi\in\bar C\setminus\ { 0\ } $,\phi \in \bar C \setminus \ open brace 0 \ close brace
$ \matr { z } _0 $,\matr open brace z close brace subscript 0
$ a \leq Y \leq b $,a \leq Y \leq b
$ t_ { \rm } $,t subscript open brace \rm close brace
$ f_ { \text { IN } _k^ { \text { FZF } } } \left ( \cdot \right ) $,f subscript open brace \text open brace IN close brace subscript k to the power of open brace \text open brace FZF close brace close brace close brace \left open parenthesis \cdot \right close parenthesis
$ H_2^ { ( \omega ) } $,H subscript 2 to the power of open brace open parenthesis \omega close parenthesis close brace
$ \psi\colon I\to I $,\psi \colon I \to I
$ e_t\notin E_C $,e subscript t \notin E subscript C
$ x=\psi ( a ) \infty $,x equals \psi open parenthesis a close parenthesis \infty
$ x^2 - B_\pm v^2 $,x to the power of 2 minus B subscript \pm v to the power of 2
"$ T ( m ) \in \ST_ { \fx , a_\star } ^ * ( \Wbb ) \subset\bbs_\fx ( \Wbb ) $",T open parenthesis m close parenthesis \in \ST subscript open brace \fx comma a subscript \star close brace to the power of times open parenthesis \Wbb close parenthesis \subset \bbs subscript \fx open parenthesis \Wbb close parenthesis
$ n_\t { in } =0 $,n subscript \t open brace in close brace equals 0
$ [ \vec { u } ] $,open bracket \vec open brace u close brace close bracket
"$ \alpha , \ , \beta\in\ { e , \ , \mu , \ , \tau\ } $",\alpha comma \ comma \beta \in \ open brace e comma \ comma \mu comma \ comma \tau \ close brace
"$ \cS ( n , r ) $",\cS open parenthesis n comma r close parenthesis
$ l'^8\in L^\perp $,l' to the power of 8 \in L to the power of \perp
$ \Lambda_i = \Z + \Z\tau_i $,\Lambda subscript i equals \Z plus \Z \tau subscript i
"$ K_\mathrm { gmct } ( k , t ) $",K subscript \mathrm open brace gmct close brace open parenthesis k comma t close parenthesis
$ y\in \partial Y_ { k+1 } $,y \in \partial Y subscript open brace k plus 1 close brace
$ \tau=14 $,\tau equals 14
$ { { \mu } _ { curv } } =0.7 $,open brace open brace \mu close brace subscript open brace curv close brace close brace equals 0 point 7
$ \frac { \ell_N^ { 3 } V_N^3 } { D_N^2 } =o ( 1 ) $,frac open brace \ell subscript N to the power of open brace 3 close brace V subscript N to the power of 3 close brace open brace D subscript N to the power of 2 close brace equals o open parenthesis 1 close parenthesis
"$ dist ( \mathbf { a , b } ) \le \epsilon $",dist open parenthesis \mathbf open brace a comma b close brace close parenthesis \le \epsilon
"$ T_ { 1,1 } /\omega_m $",T subscript open brace 1 comma 1 close brace divided by \omega subscript m
$ p ( \eta ) $,p open parenthesis \eta close parenthesis
$ \sigma ( \gamma_i ) = \gamma_i $,\sigma open parenthesis \gamma subscript i close parenthesis equals \gamma subscript i
$ \xi\cdot\xi=-1 $,\xi \cdot \xi equals minus 1
$ R_\red=R/\CN_R $,R subscript \red equals R divided by \CN subscript R
"$ \ell , \ell ' \in \Nat $",\ell comma \ell ' \in \Nat
$ -0.444\pm 0.012 $,minus 0 point 444 \pm 0 point 012
$ \com { \cdot } { \cdot } { \cdot } $,\com open brace \cdot close brace open brace \cdot close brace open brace \cdot close brace
$ ( i - \ii ) $,open parenthesis i minus \ii close parenthesis
$ r_m = \inf\limits_ { p \in \R } r_0 ( p ) $,r subscript m equals \inf \limits subscript open brace p \in \R close brace r subscript 0 open parenthesis p close parenthesis
$ \sigma_\m ( \CY ) $,\sigma subscript \m open parenthesis \CY close parenthesis
$ \bOmega \bW \bOmega^ { \sT } \overset { d } { = } \bW $,\bOmega \bW \bOmega to the power of open brace \sT close brace \overset open brace d close brace open brace equals close brace \bW
"$ S_b ( h_n , h_n , h ) \to 0 $",S subscript b open parenthesis h subscript n comma h subscript n comma h close parenthesis \to 0
$ \xi_T=g_T ( S_T ) $,\xi subscript T equals g subscript T open parenthesis S subscript T close parenthesis
"$ \vec { r } _ { \refpt } = ( 0 , \,0 , \,0 ) $",\vec open brace r close brace subscript open brace \refpt close brace equals open parenthesis 0 comma \ comma 0 comma \ comma 0 close parenthesis
$ \widetilde { \nu } _ { v_j } $,\widetilde open brace \nu close brace subscript open brace v subscript j close brace
$ \lambda ( p_i ; x_i ) $,\lambda open parenthesis p subscript i semicolon x subscript i close parenthesis
$ \varphi^4_4 $,\varphi to the power of 4 subscript 4
"$ c_ { j , d } ( \beta ) $",c subscript open brace j comma d close brace open parenthesis \beta close parenthesis
"$ d ( \varphi_ { kT_\star } x , x_\star ) \leq C e^ { -\mu k T_\star } $",d open parenthesis \varphi subscript open brace kT subscript \star close brace x comma x subscript \star close parenthesis \leq C e to the power of open brace minus \mu k T subscript \star close brace
$ f^ * \Omega=\xi ( f ) \Omega $,f to the power of times \Omega equals \xi open parenthesis f close parenthesis \Omega
$ \tilde { w } _i^k $,\tilde open brace w close brace subscript i to the power of k
$ 59.8\pm 0.1 $,59 point 8 \pm 0 point 1
"$ \beta_X = ( 1,2,3,4 ) , \beta_V = ( 6,7,8,9,10 ) , \beta_Z = 5 $",\beta subscript X equals open parenthesis 1 comma 2 comma 3 comma 4 close parenthesis comma \beta subscript V equals open parenthesis 6 comma 7 comma 8 comma 9 comma 10 close parenthesis comma \beta subscript Z equals 5
$ \bx\to R ( t ) \bx $,\bx \to R open parenthesis t close parenthesis \bx
$ \underset { ( 0.0782 ) } { 0.4454 } $,\underset open brace open parenthesis 0 point 0782 close parenthesis close brace open brace 0 point 4454 close brace
$ \textgreater10^ { \circ } $,\textgreater 10 to the power of open brace \circ close brace
"$ l\in \Lambda_L= [ -L , L ] ^d\cap \mathbb { Z } ^d $",l \in \Lambda subscript L equals open bracket minus L comma L close bracket to the power of d \cap \mathbb open brace Z close brace to the power of d
$ \rho ( \supn_ { \D } ( A\cup a ) ) > \rho ( A ) $,\rho open parenthesis \supn subscript open brace \D close brace open parenthesis A \cup a close parenthesis close parenthesis greater than \rho open parenthesis A close parenthesis
$ \F^ { 2 } $,\F to the power of open brace 2 close brace
"$ ( x ' , y ' ) \in \left [ { x \pm \delta , y \pm \delta } \right ] $",open parenthesis x ' comma y ' close parenthesis \in \left open bracket open brace x \pm \delta comma y \pm \delta close brace \right close bracket
"$ \lVert G ( \boldsymbol\ { \theta , \tau ) \rVert > 0 $",\lVert G open parenthesis \boldsymbol \ open brace \theta comma \tau close parenthesis \rVert greater than 0
"$ \left ( R^H H_m , R^H K_m\right ) $",\left open parenthesis R to the power of H H subscript m comma R to the power of H K subscript m \right close parenthesis
$ a\to 3\pi $,a \to 3 \pi
$ \mathbb { R } ^ { m+n } $,\mathbb open brace R close brace to the power of open brace m plus n close brace
$ 1 : P \to P $,1 colon P \to P
$ \mathrm { Ord } _G ( \sigma ) =k $,\mathrm open brace Ord close brace subscript G open parenthesis \sigma close parenthesis equals k
"$ a_ { ijk } \in\ { 0,1\ } $",a subscript open brace ijk close brace \in \ open brace 0 comma 1 \ close brace
$ ( \top\und\phi_1 ) $,open parenthesis \top \und \phi subscript 1 close parenthesis
$ \phi^ { + } \phi^ { - } $,\phi to the power of open brace plus close brace \phi to the power of open brace minus close brace
$ 26.51\ % $,26 point 51 \ percent
"$ B=\ { 0,4,4i\ } $",B equals \ open brace 0 comma 4 comma 4i \ close brace
"$ \sigma=\sigma_\mu dx^\mu\in\Omega^1 ( X , \mathfrak g ) $",\sigma equals \sigma subscript \mu dx to the power of \mu \in \Omega to the power of 1 open parenthesis X comma \mathfrak g close parenthesis
$ \semset { A } { Q ' } $,\semset open brace A close brace open brace Q ' close brace
$ { \cal S } _ { K } = { \cal S } _ { 2 } + { \cal S } _ { 4 } $,open brace \cal S close brace subscript open brace K close brace equals open brace \cal S close brace subscript open brace 2 close brace plus open brace \cal S close brace subscript open brace 4 close brace
$ \theta_ { v^ * } $,\theta subscript open brace v to the power of times close brace
$ 2|\sin ( p/2 ) |/\sin ( p/2 ) $,2 vertical bar \sin open parenthesis p divided by 2 close parenthesis vertical bar divided by \sin open parenthesis p divided by 2 close parenthesis
$ \mathcal { N } _ { A ( B ) } =\mathcal { N } _ { A ( C ) } =0 $,\mathcal open brace N close brace subscript open brace A open parenthesis B close parenthesis close brace equals \mathcal open brace N close brace subscript open brace A open parenthesis C close parenthesis close brace equals 0
"$ ( X_ { k+1 } , \ldots , X_\ell ) $",open parenthesis X subscript open brace k plus 1 close brace comma \ldots comma X subscript \ell close parenthesis
$ \epsilon_1 \propto a^ { -6 } $,\epsilon subscript 1 \propto a to the power of open brace minus 6 close brace
$ p^ { r+s-1 } \le n^ { \frac 14 } $,p to the power of open brace r plus s minus 1 close brace \le n to the power of open brace frac 14 close brace
$ \mathcal Q = 4Q\mathbb N $,\mathcal Q equals 4Q \mathbb N
$ \Omega \setminus Z $,\Omega \setminus Z
$ \gl_N \wedge \gl_N $,\gl subscript N \wedge \gl subscript N
$ |1\rangle_a $,vertical bar 1 \rangle subscript a
"$ \varphi_ { r , s } ^ { A } $",\varphi subscript open brace r comma s close brace to the power of open brace A close brace
$ n_W \sim n ( 1+c \sqrt { W-2 } /\Delta ) $,n subscript W \sim n open parenthesis 1 plus c \sqrt open brace W minus 2 close brace divided by \Delta close parenthesis
$ f_\sigma ( y^ { l_t } ) $,f subscript \sigma open parenthesis y to the power of open brace l subscript t close brace close parenthesis
"$ \h\rho ( x , \theta ) $",\h \rho open parenthesis x comma \theta close parenthesis
$ { \mathbb { X } } = \widehat { { \mathbb { X } } } $,open brace \mathbb open brace X close brace close brace equals \widehat open brace open brace \mathbb open brace X close brace close brace close brace
"$ \ { \Omega_ { \vm } \ } _ { \vm\in\ { 1,2\ } ^d } $",\ open brace \Omega subscript open brace \vm close brace \ close brace subscript open brace \vm \in \ open brace 1 comma 2 \ close brace to the power of d close brace
$ \omega^ { \alpha } =a^ { \alpha } =0 $,\omega to the power of open brace \alpha close brace equals a to the power of open brace \alpha close brace equals 0
$ M_ { \mu \mu } =0 $,M subscript open brace \mu \mu close brace equals 0
$ S_1 \subset H_ { 12 } ^-\Leftrightarrow \partial S_1 \subset H_ { 12 } ^- $,S subscript 1 \subset H subscript open brace 12 close brace to the power of minus \Leftrightarrow \partial S subscript 1 \subset H subscript open brace 12 close brace to the power of minus
$ C : =\bar\mu ( V_a ) =\log\frac { a+1 } { a } $,C colon equals \bar \mu open parenthesis V subscript a close parenthesis equals \logfrac open brace a plus 1 close brace open brace a close brace
$ \Phi ( t ) - C'\sqrt { \epsilon } $,\Phi open parenthesis t close parenthesis minus C' \sqrt open brace \epsilon close brace
$ g : T \to \tilde T $,g colon T \to \tilde T
$ \Aff_\C^ { 14 } $,\Aff subscript \C to the power of open brace 14 close brace
"$ { { \rm { X } } _ { : ,i } } $",open brace open brace \rm open brace X close brace close brace subscript open brace colon comma i close brace close brace
"$ \mbf v \in \mbf L^ { \m } _ { e , [ a , b ] } $",\mbf v \in \mbf L to the power of open brace \m close brace subscript open brace e comma open bracket a comma b close bracket close brace
$ p\in \PHNC $,p \in \PHNC
$ $ \mu ( B_n^2 ) < ( 2+10^ { -12 } ) \mu ( B_n ) . $ $,\mu open parenthesis B subscript n to the power of 2 close parenthesis less than open parenthesis 2 plus 10 to the power of open brace minus 12 close brace close parenthesis \mu open parenthesis B subscript n close parenthesis point
$ f ( y_k ) =f ( \xi_2 ) $,f open parenthesis y subscript k close parenthesis equals f open parenthesis \xi subscript 2 close parenthesis
$ \boldsymbol { K } _ { \xi } $,\boldsymbol open brace K close brace subscript open brace \xi close brace
$ \optpol - \pol ' $,\optpol minus \pol '
$ \sim 900 - 1450 $,\sim 900 minus 1450
$ \chi^ { \sigma } =\chi^ { \nu^k } $,\chi to the power of open brace \sigma close brace equals \chi to the power of open brace \nu to the power of k close brace
$ \omega ( x_0 ) $,\omega open parenthesis x subscript 0 close parenthesis
$ \underline { \mathcal { G } } $,\underline open brace \mathcal open brace G close brace close brace
$ \prod_ { i \in I } T^ { ( \lambda_i ) } $,\prod subscript open brace i \in I close brace T to the power of open brace open parenthesis \lambda subscript i close parenthesis close brace
$ m^ * _k\in [ c ] $,m to the power of times subscript k \in open bracket c close bracket
$ \tau \circ ( \phi|_x ) \circ \pi_x $,\tau \circ open parenthesis \phi vertical bar subscript x close parenthesis \circ \pi subscript x
"$ v \in [ v_+ , 1 ) $",v \in open bracket v subscript plus comma 1 close parenthesis
$ \partial D_t^i $,\partial D subscript t to the power of i
$ \Lambda_M^\beta $,\Lambda subscript M to the power of \beta
$ \ensuremath\ { \ { \bm\ y $,\ensuremath \ open brace \ open brace \bm \ y
$ \left [ \alpha_1 +s_\beta ( 4\alpha_2 c_\beta +\alpha_3 s_\beta ) \right ] v $,\left open bracket \alpha subscript 1 plus s subscript \beta open parenthesis 4 \alpha subscript 2 c subscript \beta plus \alpha subscript 3 s subscript \beta close parenthesis \right close bracket v
"$ \ensuremath\ { \mathcal\ { K^ { [ a , b ] } ( \proj \Lambda ) $",\ensuremath \ open brace \mathcal \ open brace K to the power of open brace open bracket a comma b close bracket close brace open parenthesis \proj \Lambda close parenthesis
"$ k^P_ { \rm max,0 } $",k to the power of P subscript open brace \rm max comma 0 close brace
$ F^k \in \mathbb { R } $,F to the power of k \in \mathbb open brace R close brace
"$ [ x_i , p_j ] =i\hbar \delta_ { ij } $",open bracket x subscript i comma p subscript j close bracket equals i \hbar \delta subscript open brace ij close brace
$ Ax ( t ) \in { \bf R } ^ { m } $,Ax open parenthesis t close parenthesis \in open brace \bf R close brace to the power of open brace m close brace
"$ G_1 , ... , G_r , D : U'\rightarrow\mathbb { K } $",G subscript 1 comma point point point comma G subscript r comma D colon U' \rightarrow \mathbb open brace K close brace
$ \bB \subset \tT $,\bB \subset \tT
"$ ( \tau , \mu_ { \tau } ) : = ( 0 , \mu^0 ) $",open parenthesis \tau comma \mu subscript open brace \tau close brace close parenthesis colon equals open parenthesis 0 comma \mu to the power of 0 close parenthesis
$ _ { \textcolor { red } { +11.4 } } $,subscript open brace \textcolor open brace red close brace open brace plus 11 point 4 close brace close brace
"$ 10^ { -16 } \ , erg\ , s^ { -1 } \ , cm^ { -2 } $",10 to the power of open brace minus 16 close brace \ comma erg \ comma s to the power of open brace minus 1 close brace \ comma cm to the power of open brace minus 2 close brace
$ \P [ S > T ] > 0 $,\P open bracket S greater than T close bracket greater than 0
$ \mu_ { j \leftarrow i } $,\mu subscript open brace j \leftarrow i close brace
$ 1^\bullet_ { \pi_1 } $,1 to the power of \bullet subscript open brace \pi subscript 1 close brace
$ \bar { \sigma } ^ { J_\tau } $,\bar open brace \sigma close brace to the power of open brace J subscript \tau close brace
"$ c = ( u , n_1 , n_2 ) \in \mathbb { R } ^3 $",c equals open parenthesis u comma n subscript 1 comma n subscript 2 close parenthesis \in \mathbb open brace R close brace to the power of 3
$ \mC \subseteq \Zp^ { n } $,\mC \subseteq \Zp to the power of open brace n close brace
$ \mathscr { E } xt $,\mathscr open brace E close brace xt
$ 1\leq |u|\leq X^ { A } $,1 \leq vertical bar u vertical bar \leq X to the power of open brace A close brace
$ U \defeq \mathcal B u $,U \defeq \mathcal B u
$ \bm { x } \in\textrm { Supp } \psi \subset \mathcal { K } $,\bm open brace x close brace \in \textrm open brace Supp close brace \psi \subset \mathcal open brace K close brace
$ \frs_ { \ps } ( \xs ) $,\frs subscript open brace \ps close brace open parenthesis \xs close parenthesis
"$ \gamma\in ( 0,2 ) \setminus\ { \sqrt { 2 } \ } $",\gamma \in open parenthesis 0 comma 2 close parenthesis \setminus \ open brace \sqrt open brace 2 close brace \ close brace
$ z_s\in\widehat { v } _s $,z subscript s \in \widehat open brace v close brace subscript s
$ i\le d_v/2 $,i \le d subscript v divided by 2
$ \tilde { \sigma } ^2 : = \sigma^2 - \|\corrcoef\|_ { \Sigma_u^+ } ^2 > 0 $,\tilde open brace \sigma close brace to the power of 2 colon equals \sigma to the power of 2 minus \ vertical bar \corrcoef \ vertical bar subscript open brace \Sigma subscript u to the power of plus close brace to the power of 2 greater than 0
