context_before,equation,context_after,eq_type,paper_number,paper_type,equation_len,equation_en,complete,rouge_scores,rouge_2,context_quality
009 & 7869,$ _ { -1082 } ^ { +1199 } $,& & Y,0,2302.02656,arxiv2023,27, subscript open brace minus 1082 close brace to the power of open brace plus 1199 close brace ,1,"{'rouge1': Score(precision=0.11764705882352941, recall=1.0, fmeasure=0.21052631578947367), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.11764705882352941, recall=1.0, fmeasure=0.21052631578947367)}",0.0,Bad
is a nonnegative measure and,"$ f\in L^1 ( E , \rho ) $",", then",0,2310.02951,arxiv2023,25, f in L to the power of 1 open parenthesis E comma rho close parenthesis ,1,"{'rouge1': Score(precision=0.4, recall=1.0, fmeasure=0.5714285714285715), 'rouge2': Score(precision=0.14285714285714285, recall=0.4, fmeasure=0.21052631578947364), 'rougeL': Score(precision=0.4, recall=1.0, fmeasure=0.5714285714285715)}",0.21052631578947364,Good
,$ \bm g ( \bm \theta ) \leq 0 $,"denotes the constraint on the selected decision variables . If only the rotor angle stability is considered , the objective function is replaced by",0,2309.06803,arxiv2023,31, bold math g open parenthesis bold math theta close parenthesis less than or equal to 0 ,1,"{'rouge1': Score(precision=0.1875, recall=0.5, fmeasure=0.2727272727272727), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.1875, recall=0.5, fmeasure=0.2727272727272727)}",0.0,Bad
,$ 200d $,~,0,2306.05438,arxiv2023,8, 200d ,1,"{'rouge1': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=1.0, recall=1.0, fmeasure=1.0)}",0.0,Bad
,$ X_ { t - i } $,and,0,2309.07526,arxiv2023,16, X subscript open brace t minus i close brace ,1,"{'rouge1': Score(precision=0.3333333333333333, recall=1.0, fmeasure=0.5), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.3333333333333333, recall=1.0, fmeasure=0.5)}",0.0,Bad
for,$ u= ( 13254 ) $,and,0,2302.10171,arxiv2023,16, u equals open parenthesis 13254 close parenthesis ,1,"{'rouge1': Score(precision=0.2857142857142857, recall=1.0, fmeasure=0.4444444444444445), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.2857142857142857, recall=1.0, fmeasure=0.4444444444444445)}",0.0,Bad
-- bilabelled graph,"$ \bm { H } = ( H , \bm { k } , \bm { l } ) $",in diagrammatic form . We choose,0,2307.0781,arxiv2023,45, bold math open brace H close brace equals open parenthesis H comma bold math open brace k close brace comma bold math open brace l close brace close parenthesis ,1,"{'rouge1': Score(precision=0.13793103448275862, recall=0.5714285714285714, fmeasure=0.2222222222222222), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.13793103448275862, recall=0.5714285714285714, fmeasure=0.2222222222222222)}",0.0,Bad
^J,"$ is a vector of covariates , % the $",J,0,2306.07181,arxiv2023,37, is a vector of covariates comma percent the ,1,"{'rouge1': Score(precision=0.75, recall=1.0, fmeasure=0.8571428571428571), 'rouge2': Score(precision=0.5714285714285714, recall=0.8, fmeasure=0.6666666666666666), 'rougeL': Score(precision=0.75, recall=1.0, fmeasure=0.8571428571428571)}",0.6666666666666666,Good
for Heston 's stochastic volatility model,"$ \mathcal { M } ^H , $",we know of at least two different models in which solutions to,0,2306.11158,arxiv2023,23, calligraphic font open brace M close brace to the power of H comma ,1,"{'rouge1': Score(precision=0.15384615384615385, recall=0.6666666666666666, fmeasure=0.25), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.15384615384615385, recall=0.6666666666666666, fmeasure=0.25)}",0.0,Bad
for,$ k_j > k_ { j+1 } $,and,0,2302.04217,arxiv2023,20, k subscript j greater than k subscript open brace j plus 1 close brace ,1,"{'rouge1': Score(precision=0.35714285714285715, recall=1.0, fmeasure=0.5263157894736842), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.35714285714285715, recall=1.0, fmeasure=0.5263157894736842)}",0.0,Bad
on the scale of,$ 10 \ { \rm \mu s } $,. The shortest integration time for this type of camera is on the order of,0,2309.10723,arxiv2023,22, 10 open brace roman mu s close brace ,1,"{'rouge1': Score(precision=0.375, recall=0.75, fmeasure=0.5), 'rouge2': Score(precision=0.14285714285714285, recall=0.3333333333333333, fmeasure=0.2), 'rougeL': Score(precision=0.375, recall=0.75, fmeasure=0.5)}",0.2,Good
&,"$ \ { 123,345,561\ } $",&,0,2308.10059,arxiv2023,22, open brace 123 comma 345 comma 561 close brace ,1,"{'rouge1': Score(precision=0.3333333333333333, recall=1.0, fmeasure=0.5), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.3333333333333333, recall=1.0, fmeasure=0.5)}",0.0,Bad
Having,$ \eta ( G ) < 2 $,means that the independence complex of,0,2305.10595,arxiv2023,18, eta open parenthesis G close parenthesis less than 2 ,1,"{'rouge1': Score(precision=0.3333333333333333, recall=1.0, fmeasure=0.5), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.3333333333333333, recall=1.0, fmeasure=0.5)}",0.0,Bad
But,$ T_ { \Phi^t x } F_ { k+1 } $,=,0,2311.00532,arxiv2023,30, T subscript open brace Phi to the power of t x close brace F subscript open brace k plus 1 close brace ,1,"{'rouge1': Score(precision=0.3181818181818182, recall=1.0, fmeasure=0.4827586206896552), 'rouge2': Score(precision=0.047619047619047616, recall=0.16666666666666666, fmeasure=0.07407407407407407), 'rougeL': Score(precision=0.3181818181818182, recall=1.0, fmeasure=0.4827586206896552)}",0.07407407407407407,Bad
limit and vanishes in the extremal,$ { Q/M=1 } $,limit . These limits can be seen in the respective panels of Fig.~,0,2301.12319,arxiv2023,13, open brace Q divided by M equals 1 close brace ,1,"{'rouge1': Score(precision=0.3, recall=1.0, fmeasure=0.4615384615384615), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.3, recall=1.0, fmeasure=0.4615384615384615)}",0.0,Bad
through the visual encoder,$ \mathcal { E } ( . ) $,. Inspired by the dual-gating mechanism,0,2307.02761,arxiv2023,24, calligraphic font open brace E close brace open parenthesis point close parenthesis ,1,"{'rouge1': Score(precision=0.08333333333333333, recall=0.5, fmeasure=0.14285714285714285), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.08333333333333333, recall=0.5, fmeasure=0.14285714285714285)}",0.0,Bad
the sequences,"$ \ { x_ { k , j } '\ } _k $",and,0,2303.00873,arxiv2023,28, open brace x subscript open brace k comma j close brace ' close brace subscript k ,1,"{'rouge1': Score(precision=0.26666666666666666, recall=1.0, fmeasure=0.4210526315789474), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.26666666666666666, recall=1.0, fmeasure=0.4210526315789474)}",0.0,Bad
are transformed into the mass functions,$ m_ { EC } $,and,0,2309.00157,arxiv2023,13, m subscript open brace EC close brace ,1,"{'rouge1': Score(precision=0.2857142857142857, recall=1.0, fmeasure=0.4444444444444445), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.2857142857142857, recall=1.0, fmeasure=0.4444444444444445)}",0.0,Bad
vertices equipped with a labeling on their vertex set,$ \lambda : V \to X $,", which will always be a bijection . We define",0,2311.17182,arxiv2023,21, lambda colon V tends to X ,1,"{'rouge1': Score(precision=0.6666666666666666, recall=1.0, fmeasure=0.8), 'rouge2': Score(precision=0.2, recall=0.3333333333333333, fmeasure=0.25), 'rougeL': Score(precision=0.6666666666666666, recall=1.0, fmeasure=0.8)}",0.25,Good
for,"$ |p_1 ( y , z ) |_\infty $",. As for the estimate,0,2306.04275,arxiv2023,27, vertical bar p subscript 1 open parenthesis y comma z close parenthesis vertical bar subscript infty ,1,"{'rouge1': Score(precision=0.3125, recall=1.0, fmeasure=0.47619047619047616), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.3125, recall=1.0, fmeasure=0.47619047619047616)}",0.0,Bad
when,$ D=q_1+q_2 $,",",0,2302.11456,arxiv2023,13, D equals q subscript 1 plus q subscript 2 ,1,"{'rouge1': Score(precision=0.5555555555555556, recall=1.0, fmeasure=0.7142857142857143), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.5555555555555556, recall=1.0, fmeasure=0.7142857142857143)}",0.0,Bad
is,"$ ( -2g+1 , +\infty ) $",if,0,2310.01368,arxiv2023,23, open parenthesis minus 2g plus 1 comma plus infty close parenthesis ,1,"{'rouge1': Score(precision=0.2727272727272727, recall=1.0, fmeasure=0.42857142857142855), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.2727272727272727, recall=1.0, fmeasure=0.42857142857142855)}",0.0,Bad
For general,"$ b= [ b_0 , b_1 , b_2 ] $",", we obtain",0,2306.05232,arxiv2023,26, b equals open bracket b subscript 0 comma b subscript 1 comma b subscript 2 close bracket ,1,"{'rouge1': Score(precision=0.4117647058823529, recall=1.0, fmeasure=0.5833333333333334), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.4117647058823529, recall=1.0, fmeasure=0.5833333333333334)}",0.0,Bad
is a lower bound on,"$ ( \nabla f , N ) $",and,0,2307.03624,arxiv2023,20, open parenthesis nabla f comma N close parenthesis ,1,"{'rouge1': Score(precision=0.375, recall=1.0, fmeasure=0.5454545454545454), 'rouge2': Score(precision=0.14285714285714285, recall=0.5, fmeasure=0.22222222222222224), 'rougeL': Score(precision=0.375, recall=1.0, fmeasure=0.5454545454545454)}",0.22222222222222224,Good
,$ v_1w\in E ( C ' ) $,. Set,0,2305.0224,arxiv2023,21, v subscript 1w in E open parenthesis C ' close parenthesis ,1,"{'rouge1': Score(precision=0.5, recall=1.0, fmeasure=0.6666666666666666), 'rouge2': Score(precision=0.2222222222222222, recall=0.5, fmeasure=0.30769230769230765), 'rougeL': Score(precision=0.5, recall=1.0, fmeasure=0.6666666666666666)}",0.30769230769230765,Good
for the terms,$ P_3^s $,",",0,2309.11904,arxiv2023,9, P subscript 3 to the power of s ,1,"{'rouge1': Score(precision=0.375, recall=1.0, fmeasure=0.5454545454545454), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.375, recall=1.0, fmeasure=0.5454545454545454)}",0.0,Bad
parallel instances is,$ ( 44k + 65 ) \cdot 10^6 $,Toffoli gates and,0,2306.08585,arxiv2023,27, open parenthesis 44k plus 65 close parenthesis times 10 to the power of 6 ,1,"{'rouge1': Score(precision=0.2857142857142857, recall=0.8, fmeasure=0.4210526315789473), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.2857142857142857, recall=0.8, fmeasure=0.4210526315789473)}",0.0,Bad
and,"$ { \rm Im } \ , \omega^\alpha ( V ) \subset V^\alpha $",for,0,2306.08556,arxiv2023,55, open brace roman Im close brace comma omega to the power of alpha open parenthesis V close parenthesis strict subset of V to the power of alpha ,1,"{'rouge1': Score(precision=0.25925925925925924, recall=0.875, fmeasure=0.39999999999999997), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.25925925925925924, recall=0.875, fmeasure=0.39999999999999997)}",0.0,Bad
to,"$ I_ { ( V , \psi ) } ( k ) $",", there exists a unique morphism",0,2305.13074,arxiv2023,29, I subscript open brace open parenthesis V comma psi close parenthesis close brace open parenthesis k close parenthesis ,1,"{'rouge1': Score(precision=0.2222222222222222, recall=1.0, fmeasure=0.3636363636363636), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.2222222222222222, recall=1.0, fmeasure=0.3636363636363636)}",0.0,Bad
&,$ 95.2\ % $,&,0,2301.01616,arxiv2023,11, 95 point 2 percent ,1,"{'rouge1': Score(precision=0.5, recall=1.0, fmeasure=0.6666666666666666), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.5, recall=1.0, fmeasure=0.6666666666666666)}",0.0,Bad
with an error term of,$ O ( x^ { 33 } ) $,. The representation of,0,2311.04075,arxiv2023,19, O open parenthesis x to the power of open brace 33 close brace close parenthesis ,1,"{'rouge1': Score(precision=0.2, recall=1.0, fmeasure=0.33333333333333337), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.2, recall=1.0, fmeasure=0.33333333333333337)}",0.0,Bad
Note that,$ P ( H_1^ { ( t ) } ) =P ( H_ { M+1 } ^ { ( t ) } ) =1 $,for any,0,2306.06718,arxiv2023,57, P open parenthesis H subscript 1 to the power of open brace open parenthesis t close parenthesis close brace close parenthesis equals P open parenthesis H subscript open brace M plus 1 close brace to the power of open brace open parenthesis t close parenthesis close brace close parenthesis equals 1 ,1,"{'rouge1': Score(precision=0.19607843137254902, recall=1.0, fmeasure=0.3278688524590164), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.19607843137254902, recall=1.0, fmeasure=0.3278688524590164)}",0.0,Bad
where,$ k_ { 1 } = ptxyz \sin 2\theta $,",",0,2310.12311,arxiv2023,33, k subscript open brace 1 close brace equals ptxyz sine of 2 theta ,1,"{'rouge1': Score(precision=0.38461538461538464, recall=0.8333333333333334, fmeasure=0.5263157894736842), 'rouge2': Score(precision=0.08333333333333333, recall=0.2, fmeasure=0.11764705882352941), 'rougeL': Score(precision=0.38461538461538464, recall=0.8333333333333334, fmeasure=0.5263157894736842)}",0.11764705882352941,Bad
and,"$ b= ( p ( a ) , q ( a ) ) $",". First , we will state and prove the following lemma .",0,2310.14787,arxiv2023,28, b equals open parenthesis p open parenthesis a close parenthesis comma q open parenthesis a close parenthesis close parenthesis ,1,"{'rouge1': Score(precision=0.2631578947368421, recall=1.0, fmeasure=0.4166666666666667), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.2631578947368421, recall=1.0, fmeasure=0.4166666666666667)}",0.0,Bad
&,$ 25.33\pm0.04 $,,0,2302.11158,arxiv2023,16, 25 point 33 plus or minus 0 point 04 ,1,"{'rouge1': Score(precision=0.3333333333333333, recall=0.75, fmeasure=0.46153846153846156), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.3333333333333333, recall=0.75, fmeasure=0.46153846153846156)}",0.0,Bad
the purpose of this section is to show that the ordinal,$ \omega\cdot n+m $,can be algorithmically estimated up to a finite error . In,0,2311.10178,arxiv2023,19, omega times n plus m ,1,"{'rouge1': Score(precision=0.6, recall=0.75, fmeasure=0.6666666666666665), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.6, recall=0.75, fmeasure=0.6666666666666665)}",0.0,Bad
let,"$ x^ { R } \in C [ 0,1 ] $",be the function with Faber -- Schauder coefficients,0,2307.02582,arxiv2023,26, x to the power of open brace R close brace in C open bracket 0 comma 1 close bracket ,1,"{'rouge1': Score(precision=0.3157894736842105, recall=1.0, fmeasure=0.4799999999999999), 'rouge2': Score(precision=0.05555555555555555, recall=0.2, fmeasure=0.08695652173913045), 'rougeL': Score(precision=0.3157894736842105, recall=1.0, fmeasure=0.4799999999999999)}",0.08695652173913045,Bad
of elements of,$ GF ( 2^ { n - t } ) $,", where",0,2302.13176,arxiv2023,23, GF open parenthesis 2 to the power of open brace n minus t close brace close parenthesis ,1,"{'rouge1': Score(precision=0.23529411764705882, recall=1.0, fmeasure=0.38095238095238093), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.23529411764705882, recall=1.0, fmeasure=0.38095238095238093)}",0.0,Bad
Occasionally we may also write,$ ad^ { \tau } ( \mathcal { F } ) $,or,0,2301.08867,arxiv2023,35, ad to the power of open brace tau close brace open parenthesis calligraphic font open brace F close brace close parenthesis ,1,"{'rouge1': Score(precision=0.14285714285714285, recall=0.75, fmeasure=0.24), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.14285714285714285, recall=0.75, fmeasure=0.24)}",0.0,Bad
or,$ \pm q ' $,. Combining this with the equation,0,2306.0825,arxiv2023,11, plus or minus q ' ,1,"{'rouge1': Score(precision=0.25, recall=0.5, fmeasure=0.3333333333333333), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.25, recall=0.5, fmeasure=0.3333333333333333)}",0.0,Bad
i,$ coordinates where $,i=j,0,2305.14883,arxiv2023,21, coordinates where ,1,"{'rouge1': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rouge2': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rougeL': Score(precision=1.0, recall=1.0, fmeasure=1.0)}",1.0,Good
and consider the polynomial,"$ H ( x , y , z ) $",of degree,0,2301.06019,arxiv2023,19, H open parenthesis x comma y comma z close parenthesis ,1,"{'rouge1': Score(precision=0.4, recall=1.0, fmeasure=0.5714285714285715), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.4, recall=1.0, fmeasure=0.5714285714285715)}",0.0,Bad
,$ p\in\Sigma_- ( s ) $,and,0,2306.03649,arxiv2023,22, p in Sigma subscript minus open parenthesis s close parenthesis ,1,"{'rouge1': Score(precision=0.4, recall=1.0, fmeasure=0.5714285714285715), 'rouge2': Score(precision=0.2222222222222222, recall=0.6666666666666666, fmeasure=0.3333333333333333), 'rougeL': Score(precision=0.4, recall=1.0, fmeasure=0.5714285714285715)}",0.3333333333333333,Good
and,"$ a , b\in k [ [ t^\Gamma ] ] $",", the `` branching '' of",0,2309.14469,arxiv2023,31, a comma b in k open bracket open bracket t to the power of Gamma close bracket close bracket ,1,"{'rouge1': Score(precision=0.3157894736842105, recall=1.0, fmeasure=0.4799999999999999), 'rouge2': Score(precision=0.1111111111111111, recall=0.4, fmeasure=0.1739130434782609), 'rougeL': Score(precision=0.3157894736842105, recall=1.0, fmeasure=0.4799999999999999)}",0.1739130434782609,Bad
the mean of the M/L distribution,$ \mu_ { M/L } $,"is entirely prior dominated , so we treat it as a fixed value . The",0,2306.14945,arxiv2023,16, mu subscript open brace M divided by L close brace ,1,"{'rouge1': Score(precision=0.3, recall=1.0, fmeasure=0.4615384615384615), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.3, recall=1.0, fmeasure=0.4615384615384615)}",0.0,Bad
,$ O ( r_c ) $,", i.e . for terms linear in",0,2310.09914,arxiv2023,13, O open parenthesis r subscript c close parenthesis ,1,"{'rouge1': Score(precision=0.375, recall=1.0, fmeasure=0.5454545454545454), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.375, recall=1.0, fmeasure=0.5454545454545454)}",0.0,Bad
by ferromagnetic coupling,$ J_z=-1 $,and,0,2303.03685,arxiv2023,10, J subscript z equals minus 1 ,1,"{'rouge1': Score(precision=0.5, recall=1.0, fmeasure=0.6666666666666666), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.5, recall=1.0, fmeasure=0.6666666666666666)}",0.0,Bad
and,$ { Y } _ { \rm I } $,are random variables whose outputs are from spaces,0,2311.01796,arxiv2023,21, open brace Y close brace subscript open brace roman I close brace ,1,"{'rouge1': Score(precision=0.16666666666666666, recall=0.6666666666666666, fmeasure=0.26666666666666666), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.16666666666666666, recall=0.6666666666666666, fmeasure=0.26666666666666666)}",0.0,Bad
so that,$ u_1 + \cdots + u_n = 1 $,and,0,2301.02518,arxiv2023,26, u subscript 1 plus times s plus u subscript n equals 1 ,1,"{'rouge1': Score(precision=0.4166666666666667, recall=0.8333333333333334, fmeasure=0.5555555555555556), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.4166666666666667, recall=0.8333333333333334, fmeasure=0.5555555555555556)}",0.0,Bad
,$ \chi= ( I_sR_L ) / ( 2\rho V_ { th } ) $,",",0,2307.10263,arxiv2023,42, chi equals open parenthesis I subscript sR subscript L close parenthesis divided by open parenthesis 2 rho V subscript open brace th close brace close parenthesis ,1,"{'rouge1': Score(precision=0.3076923076923077, recall=1.0, fmeasure=0.47058823529411764), 'rouge2': Score(precision=0.08, recall=0.2857142857142857, fmeasure=0.125), 'rougeL': Score(precision=0.3076923076923077, recall=1.0, fmeasure=0.47058823529411764)}",0.125,Bad
we get that,$ \psi ( Z ) > \psi ( Y ) $,", which contradicts our assumption on",0,2302.03087,arxiv2023,27, psi open parenthesis Z close parenthesis greater than psi open parenthesis Y close parenthesis ,1,"{'rouge1': Score(precision=0.2857142857142857, recall=1.0, fmeasure=0.4444444444444445), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.2857142857142857, recall=1.0, fmeasure=0.4444444444444445)}",0.0,Bad
and,$ v ( c_ { i+1 } ^ { * } ) \geq v ( c_ { i } ^ { * } ) $,by continuity of,0,2305.0131,arxiv2023,56, v open parenthesis c subscript open brace i plus 1 close brace to the power of open brace times close brace close parenthesis greater than or equal to v open parenthesis c subscript open brace i close brace to the power of open brace times close brace close parenthesis ,1,"{'rouge1': Score(precision=0.14285714285714285, recall=0.875, fmeasure=0.2456140350877193), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.14285714285714285, recall=0.875, fmeasure=0.2456140350877193)}",0.0,Bad
and,$ E_1 ( r ) $,are the same subset of,0,2305.06009,arxiv2023,13, E subscript 1 open parenthesis r close parenthesis ,1,"{'rouge1': Score(precision=0.375, recall=1.0, fmeasure=0.5454545454545454), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.375, recall=1.0, fmeasure=0.5454545454545454)}",0.0,Bad
by expanding this first result in powers of,$ ( x_B-1 ) $,", we get",0,2304.09203,arxiv2023,13, open parenthesis x subscript B minus 1 close parenthesis ,1,"{'rouge1': Score(precision=0.3333333333333333, recall=1.0, fmeasure=0.5), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.3333333333333333, recall=1.0, fmeasure=0.5)}",0.0,Bad
,$ \tau_ { ep } $,",",0,2302.06964,arxiv2023,16, tau subscript open brace ep close brace ,1,"{'rouge1': Score(precision=0.2857142857142857, recall=1.0, fmeasure=0.4444444444444445), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.2857142857142857, recall=1.0, fmeasure=0.4444444444444445)}",0.0,Bad
as,$ r ( x ) \to +\infty $,", if",0,2304.00745,arxiv2023,23, r open parenthesis x close parenthesis tends to plus infty ,1,"{'rouge1': Score(precision=0.4, recall=1.0, fmeasure=0.5714285714285715), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.4, recall=1.0, fmeasure=0.5714285714285715)}",0.0,Bad
for some functions,"$ x_1 , \cdots , x_ { 18 } , A_1 , W_1 , W_3 $",on,0,2303.08807,arxiv2023,46, x subscript 1 comma times s comma x subscript open brace 18 close brace comma A subscript 1 comma W subscript 1 comma W subscript 3 ,1,"{'rouge1': Score(precision=0.38461538461538464, recall=0.9090909090909091, fmeasure=0.5405405405405405), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.38461538461538464, recall=0.9090909090909091, fmeasure=0.5405405405405405)}",0.0,Bad
Now let,$ \frac { \displaystyle { s_n } } { \displaystyle { t_n } } $,be the,0,2301.00978,arxiv2023,61, frac open brace displaystyle open brace s subscript n close brace close brace open brace displaystyle open brace t subscript n close brace close brace ,1,"{'rouge1': Score(precision=0.28, recall=1.0, fmeasure=0.43750000000000006), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.28, recall=1.0, fmeasure=0.43750000000000006)}",0.0,Bad
can wait arbitrarily long to produce an estimate of the state-sequence,$ S_k^N $,. We propose that it waits after the block-,0,2304.01972,arxiv2023,9, S subscript k to the power of N ,1,"{'rouge1': Score(precision=0.375, recall=1.0, fmeasure=0.5454545454545454), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.375, recall=1.0, fmeasure=0.5454545454545454)}",0.0,Bad
with,$ g=g ( z ) $,and,0,2302.08442,arxiv2023,13, g equals g open parenthesis z close parenthesis ,1,"{'rouge1': Score(precision=0.375, recall=1.0, fmeasure=0.5454545454545454), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.375, recall=1.0, fmeasure=0.5454545454545454)}",0.0,Bad
and,"$ z^ { \alpha } \omega^S ( z , t ) $",when,0,2309.04005,arxiv2023,36, z to the power of open brace alpha close brace omega to the power of S open parenthesis z comma t close parenthesis ,1,"{'rouge1': Score(precision=0.2608695652173913, recall=1.0, fmeasure=0.41379310344827586), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.2608695652173913, recall=1.0, fmeasure=0.41379310344827586)}",0.0,Bad
&,$ 0.9963_ { -0.0080 } ^ { +0.0033 } $,&,0,2301.1381,arxiv2023,37, 0 point 9963 subscript open brace minus 0 point 0080 close brace to the power of open brace plus 0 point 0033 close brace ,1,"{'rouge1': Score(precision=0.25, recall=1.0, fmeasure=0.4), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.25, recall=1.0, fmeasure=0.4)}",0.0,Bad
such that,$ A+k_hBC\neq \alpha I $,for all,0,2310.15828,arxiv2023,24, A plus k subscript hBC not equal to alpha I ,1,"{'rouge1': Score(precision=0.5, recall=0.8333333333333334, fmeasure=0.625), 'rouge2': Score(precision=0.1111111111111111, recall=0.2, fmeasure=0.14285714285714285), 'rougeL': Score(precision=0.5, recall=0.8333333333333334, fmeasure=0.625)}",0.14285714285714285,Bad
,$ a ( a \geq 4 ) $,and,0,2310.06612,arxiv2023,18, a open parenthesis a greater than or equal to 4 close parenthesis ,1,"{'rouge1': Score(precision=0.25, recall=0.75, fmeasure=0.375), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.25, recall=0.75, fmeasure=0.375)}",0.0,Bad
where a graph,"$ \mathcal { G } _ { k } = ( \mathcal { X } , E_ { k } ) $",is made . We now explain how the inputs and outputs of each GCN block are obtained . Let,0,2303.17748,arxiv2023,58, calligraphic font open brace G close brace subscript open brace k close brace equals open parenthesis calligraphic font open brace X close brace comma E subscript open brace k close brace close parenthesis ,1,"{'rouge1': Score(precision=0.15151515151515152, recall=0.7142857142857143, fmeasure=0.25), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.15151515151515152, recall=0.7142857142857143, fmeasure=0.25)}",0.0,Bad
&,$ 2.53^ { +0.51 } _ { -0.22 } $,&,0,2309.016,arxiv2023,31, 2 point 53 to the power of open brace plus 0 point 51 close brace subscript open brace minus 0 point 22 close brace ,1,"{'rouge1': Score(precision=0.25, recall=1.0, fmeasure=0.4), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.25, recall=1.0, fmeasure=0.4)}",0.0,Bad
